"id","city_name","county","state","zone_code","zone_name","zone_type","zone_sub_type","single_family_permitted","two_family_permitted","multi_family_permitted","commercial_uses_permitted","short_term_rentals_permitted"
122,"Anaheim","Orange","California","SP-2015-1","Anaheim Canyon Specific Plan","Special","Special",False,False,False,True,False
122,"Anaheim","Orange","California","SP-93-1","Hotel Circle Specific Plan","Special","Special",False,False,False,True,False
201,"Fort Worth","Tarrant","Texas","A-2.5","One Family","Residential","Single Family",True,False,False,True,False
512,"Huntington Beach","Orange","California","OS-PR-O","Open Space Parks And Recreation Subdistrict Oil Production Overlay Zone","Overlay","Overlay",False,False,False,True,False
201,"Fort Worth","Tarrant","Texas","A-5","One Family","Residential","Single Family",True,False,False,True,False
201,"Fort Worth","Tarrant","Texas","ER","Neighborhood Commercial Restricted","Commercial","Neighborhood Commercial",False,False,False,True,True
512,"Huntington Beach","Orange","California","RL-O1","Residential Low Density Oil Production Overlay Zone","Overlay","Overlay",True,False,True,True,False
2700,"Rancho Cordova","Sacramento","California","P/OS","Park And Open Space","Special","Special",False,False,False,True,False
512,"Huntington Beach","Orange","California","OS-PR-CZ","Open Space Parks And Recreation Subdistrict Coastal Overlay Zone","Overlay","Overlay",False,False,False,True,False
512,"Huntington Beach","Orange","California","OS-PR-O1","Open Space Parks And Recreation Subdistrict Oil Production Overlay Zone","Overlay","Overlay",False,False,False,True,False
1537,"San Clemente","Orange","California","RML","Residential Medium Low 7 Dwelling Units Per Gross Acre","Residential","Multi Family",True,False,True,True,True
1908,"Placer County Unincorporated","Placer","California","RS-B-X-10000","RES","Residential",NULL,NULL,NULL,NULL,NULL,NULL
813,"Yorba Linda","Orange","California","CN","Commercial Neighborhood","Commercial","Neighborhood Commercial",False,False,False,True,False
3658,"Osceola County Unincorporated","Osceola","Florida","AC","Agricultural","Agriculture","Agriculture",True,False,False,True,False
1357,"Wylie","Collin","Texas","CC/SUP","Commercial Corridor Special Use Permit District","Commercial","General Commercial",False,False,True,True,False
2957,"Elk Grove","Sacramento","California","RD-2","Very Low Density Residential","Residential","Two Family",True,True,False,True,True
146,"Miami","Miami-Dade","Florida","T6-24A-O","Urban Core Zone","Mixed","Mixed Use",True,True,True,True,False
1645,"Frisco","Collin","Texas","SF-12.5/SF-10/SF-7/PH/TH","Single Family Residential Patio Home And Townhome","Residential","Single Family",True,False,True,True,False
4363,"Freeport","Brazoria","Texas","IN","Industrial","Industrial","Industrial",NULL,NULL,NULL,NULL,NULL
2593,"Wildwood","Sumter","Florida","ARD","Age Restricted Development Mixed Use","Mixed","Mixed Use",True,False,True,True,False
2593,"Wildwood","Sumter","Florida","C-2","General Commercial Neighborhood","Commercial","Neighborhood Commercial",True,False,False,True,False
1535,"Santa Clara County Unincorporated","Santa Clara","California","R2","Two Family Residence","Residential","Two Family",True,True,False,True,False
4417,"Sumter County Unincorporated","Polk","Florida","A10","General Agricultural With Optional Housing","Agriculture","Agriculture",True,False,False,True,False
661,"Palm Desert","Riverside","California","P","Public Institutional District","Special","Special",True,True,True,True,False
1620,"Los Angeles County Unincorporated","Los Angeles","California","C-3-DP","General Commercial Development Program","Special","Special",True,True,True,True,False
4416,"Sebring","Highlands","Florida","R-3P","Multiple Family Residential Professional","Mixed","Mixed Use",True,True,True,True,False
2697,"Hemet","Riverside","California","R-1-7.2","Single Family Residential Minimum Lot Size 7200 Square Feet","Residential","Single Family",True,False,False,True,False
1367,"Rowlett","Dallas","Texas","SF-15","Single Family Residential","Residential","Single Family",True,False,False,True,False
1364,"Desoto","Dallas","Texas","SF-15","Single Family Residential 15","Residential","Single Family",True,False,False,True,False
4418,"Webster","Sumter","Florida","DTMU","Downtown Mixed Use","Mixed","Mixed Use",True,True,True,True,False
620,"Deland","Volusia","Florida","C-2","General Commercial","Commercial","General Commercial",True,False,True,True,False
1718,"Gainesville","Alachua","Florida","MU2","Mixed Use Low Intensity","Mixed","Mixed Use",True,False,True,True,False
2870,"Watsonville","Santa Cruz","California","CCA","Central Commercial Core Area","Commercial","Core Commercial",True,False,True,True,False
812,"Fountain Valley","Orange","California","PI","Public Institution","Special","Special",False,False,False,True,False
4366,"Mexico Beach","Bay","Florida","TC","Tourist Commercial","Commercial","Special Commercial",True,False,True,True,False
2724,"Santa Barbara","Santa Barbara","California","HRC-1","Hotel And Related Commerce","Commercial","Special Commercial",False,False,False,True,False
211,"Dallas","Dallas","Texas","P(A)","Parking District","Special","Special",NULL,NULL,NULL,NULL,NULL
1620,"Los Angeles County Unincorporated","Los Angeles","California","A-1-2","Light Agricultural","Agricultural","Agriculture",True,False,True,True,False
58,"Burbank","Los Angeles","California","BCC-3","Burbank Center Commercial General Business","Commercial","General Commercial",True,False,False,True,False
1718,"Gainesville","Alachua","Florida","BA","Automotive Oriented Business","Commercial","Special Commercial",False,False,False,True,False
2528,"Little Elm","Denton","Texas","TH","Townhome","Residential","Single Family",True,False,True,True,False
1718,"Gainesville","Alachua","Florida","RC","Residential Conservation","Residential","Single Family",True,False,True,True,False
1762,"Pompano Beach","Broward","Florida","RM-20","Multiple Family Residential","Residential","Multi Family",True,True,True,True,False
4447,"Petaluma","Sonoma","California","AG","Agriculture","Agriculture","Agriculture",True,False,False,True,False
1750,"Lee County Unincorporated","Lee","Florida","RPD","Residential Planned Development","Planned","Planned",True,True,True,True,False
2699,"Perris","Riverside","California","RWSP","Riverwoods Specific Plan","Special","Special",NULL,NULL,NULL,NULL,NULL
3248,"Marathon","Monroe","Florida","RM-2","Residential Medium","Residential","Single Family",True,True,False,True,False
4397,"Hendry County Unincorporated","Hendry","Florida","RR","Rural Residential","Residential","Single Family",True,False,False,True,False
2960,"Thousand Oaks","Ventura","California","P-L","Public Quasi Public And Institutional Lands And Facilities Zones","Special","Special",False,False,False,True,False
4396,"Desoto County Unincorporated","Hardee","Florida","A-10","Agricultural 10","Agriculture","Agriculture",True,False,True,True,False
4363,"Freeport","Brazoria","Texas","PUD","Planned Unit Development","Planned","Planned",NULL,NULL,NULL,NULL,NULL
2667,"Apple Valley","San Bernardino","California","PRD","Planned Residential Development","Planned","Planned",True,False,True,True,False
3420,"Shasta County Unincorporated","Shasta","California","MU-NRA-S","General Industrial","Industrial",NULL,NULL,NULL,NULL,NULL,NULL
2876,"Porterville","Tulare","California","D-PO","Professional Office","Commercial","Office",True,False,True,True,False
2876,"Porterville","Tulare","California","IP","Industrial Park","Industrial","Industrial",False,False,False,True,False
4364,"Manvel","Brazoria","Texas","SDA","Development Agreement Signed","Special","Special",NULL,NULL,NULL,NULL,NULL
3303,"Banning","Riverside","California","MDR","Medium Density Residential 0 To 10 Dwelling Units Per Acre","Residential","Multi Family",True,False,True,True,False
2705,"Boynton Beach","Palm Beach","Florida","PU","Public Usage District","Special","Special",True,False,False,True,False
1674,"Encinitas","San Diego","California","R-5","Residential 5","Residential","Single Family",True,False,False,True,False
1908,"Placer County Unincorporated","Placer","California","RS-B-4","RES","Residential",NULL,NULL,NULL,NULL,NULL,NULL
113,"West Hollywood","Los Angeles","California","MSP","Movietown Specific Plan","Special","Special",NULL,NULL,NULL,NULL,NULL
2506,"Crowley","Tarrant","Texas","SF-6.0","Single Family Residential(Inactive)","Residential",NULL,True,NULL,NULL,NULL,NULL
2506,"Crowley","Tarrant","Texas","SF-20","Single Family Estate Residential","Residential",NULL,True,NULL,NULL,NULL,NULL
2506,"Crowley","Tarrant","Texas","AG","Agricultural","Agricultural",NULL,NULL,NULL,NULL,NULL,NULL
4439,"Palm Springs","Riverside","California","C-1","Retail Business","Commercial","Retail Commercial",True,False,True,True,False
1549,"Lake Forest","Orange","California","UI-25","Urban Industrial 25","Industrial","Industrial",True,False,True,True,False
1552,"Los Alamitos","Orange","California","C-G","General Commercial","Commercial","General Commercial",True,False,False,True,False
1537,"San Clemente","Orange","California","OSC","Publicly And Privately Owned Golf Courses","Special","Special",False,False,False,True,False
2762,"Ocala","Marion","Florida","B-3C","Community Redevelopment Area Mixed Use 2","Mixed","Mixed Use",True,True,True,True,False
812,"Fountain Valley","Orange","California","R1","Single Family Residential 5 Units Per Acre 0.5 Floor Area Ratio","Residential","Single Family",True,False,False,True,False
4046,"Fresno County Unincorporated","Fresno","California","AL-20","Limited Agricultural District 20","Agricultural","Agriculture",True,False,False,True,False
339,"Mulberry","Polk","Florida","I-H","Heavy Industrial","Industrial","Industrial",False,False,False,True,False
4368,"Santa Rosa County Unincorporated","Okaloosa","Florida","P2-APZ-1","Active Park Accident Potential Zone","Special","Special",False,False,False,True,False
3327,"Seal Beach","Orange","California","SC","Service Commercial","Commercial","Special Commercial",True,True,False,True,False
4447,"Petaluma","Sonoma","California","C1","Commercial 1","Commercial","General Commercial",True,False,False,True,False
617,"Daytona Beach","Volusia","Florida","RP","Residential Professional","Mixed","Mixed Use",True,True,True,True,False
4123,"Bunnell","Flagler","Florida","R-1","Single Family Residential","Residential","Single Family",True,False,False,True,False
410,"North Bay Village","Miami-Dade","Florida","RS-1","Low Density Single-Family Residential District","Residential","Single Family",True,False,False,True,False
189,"Oakland","Alameda","California","CR-1","Regional Commercial Zone 1","Commercial","Neighborhood Commercial",True,False,False,True,False
1908,"Placer County Unincorporated","Placer","California","FOR-MR 20 AC. MIN.","FOR","Special","Special",NULL,NULL,NULL,NULL,NULL
3305,"Loma Linda","San Bernardino","California","CM","Commercial Manufacturing","Mixed","Mixed Use",False,False,False,True,False
4439,"Palm Springs","Riverside","California","C-1AA","Large Scale Retail Commercial","Commercial","Retail Commercial",True,False,True,True,False
1698,"Live Oak","Bexar","Texas","R-1","R-1","Residential",NULL,NULL,NULL,NULL,NULL,NULL
816,"La Habra","Orange","California","R-2/PUD","Two Family Dwelling Planned Unit Development","Planned","Planned",True,True,True,True,False
3041,"Lauderdale By The Sea","Broward","Florida","RD-10","Duplex","Residential","Two Family",True,True,False,False,True
73,"Arcadia","Los Angeles","California","M-1","Industrial","Industrial","Industrial",False,False,False,True,False
3605,"Davenport","Polk","Florida","PI-2","Public Or Institutional","Special","Special",True,False,False,True,False
3604,"Coleman","Sumter","Florida","CH","Heavy Commercial","Commercial","Core Commercial",True,False,False,True,False
122,"Anaheim","Orange","California","SP-88-2","The Summit Of Anaheim Hills Specific Plan","Special","Special",False,False,False,True,False
55,"Santa Clarita","Los Angeles","California","CC","Community Commercial","Commercial","Core Commercial",True,True,True,True,False
1620,"Los Angeles County Unincorporated","Los Angeles","California","R-R-5","Resort And Recreation","Special","Special",True,False,True,True,False
3052,"Bradenton","Manatee","Florida","P","Professional","Mixed","Mixed Use",True,False,False,True,False
3068,"Paso Robles","San Luis Obispo","California","POS","Beechwood Specific Plan","Planned",NULL,True,True,True,True,False
208,"Austin","Travis","Texas","LR-H-MU-NP","Neighborhood Commercial","Commercial","Neighborhood Commercial",True,False,False,True,False
2615,"Argyle","Denton","Texas","PD-SF-7","Planned Development / Single-Family Residential-7","Planned",NULL,True,NULL,NULL,NULL,NULL
53,"Palmdale","Los Angeles","California","SFR-3","Single Family Residential 3","Residential","Single Family",True,True,True,True,False
2876,"Porterville","Tulare","California","DRM-3","High Density Residential","Residential","Multi Family",True,False,True,True,False
2972,"Moreno Valley","Riverside","California","COMU","Corridor Mixed Use","Mixed","Mixed Use",True,False,True,True,False
3487,"Groveland","Lake","Florida","GS-CORE","Green Swamp Town Core","Mixed","Mixed Use",True,False,True,True,True
1533,"Santa Cruz Unincorporated","Santa Cruz","California","PF-D-L","Public and Community Facilities","Special","Special",NULL,NULL,NULL,NULL,NULL
2845,"Kissimmee","Osceola","Florida","RB-2","Medium Density Residential-Office","Mixed","Mixed Use",True,True,True,True,True
1323,"Miami Springs","Miami-Dade","Florida","AG","Airport Golf District","Special","Special",True,False,True,True,False
2836,"Beaumont","Riverside","California","DMF","Downtown Residential Multifamily","Residential","Multiple Family",True,True,True,True,False
4397,"Hendry County Unincorporated","Hendry","Florida","RR-F","Rural Residential Farm","Residential","Single Family",True,False,False,True,False
3586,"Tavares","Lake","Florida","RMF-3","Residential Multi Family","Residential","Multi Family",True,True,True,True,False
622,"Edgewater","Volusia","Florida","I-1","Light Industrial","Industrial","Light Industrial",False,False,False,True,False
1552,"Los Alamitos","Orange","California","R-2","Limited Multiple Family Residential","Residential","Multi Family",True,True,True,True,False
2700,"Rancho Cordova","Sacramento","California","RD30","Residential","Residential","Single Family",True,True,True,True,False
2661,"Yuba","Sutter","California","R-3","Multiple Family Residence","Residential","Multi Family",True,True,True,True,False
3590,"Avon Park","Highlands","Florida","I-1","Light Industry","Industrial","Light Industrial",False,False,False,True,False
1353,"Richardson","Dallas","Texas","R-1100-M","Residential Masonry Construction","Residential","Single Family",True,False,False,True,False
2661,"Yuba","Sutter","California","C-O","Office Commercial","Commercial","Office",True,False,True,True,False
2388,"Key West","Monroe","Florida","HRCC-3","Historic Residential Commercial Core Duval Street Oceanside District","Mixed","Mixed Use",True,True,True,True,False
1494,"Corte Madera","Marin","California","C-3","Highway Commercial","Commercial","Special Commercial",False,False,False,True,False
2708,"Redding","Shasta","California","RM-12-FP","Residential Multiple Family 12 Unit Per Acre Floodplain Overlay District","Overlay","Overlay",True,True,True,True,False
2554,"Highland","San Bernardino","California","R-1(10000)","Single Family Residential","Residential","Single Family",True,False,False,True,False
1908,"Placer County Unincorporated","Placer","California","RF-B-100 PD = 0.44","RES","Residential",NULL,NULL,NULL,NULL,NULL,NULL
2876,"Porterville","Tulare","California","RM-2","Medium Density Residential","Residential","Multi Family",True,False,True,True,False
2708,"Redding","Shasta","California","PF-SP","Public Facility Specific Plan Overlay District","Overlay","Overlay",True,False,False,True,False
185,"Orlando","Orange","Florida","O-2/T/AN/SP","Office and Residential Districts","Mixed","Mixed Use",True,True,True,True,False
1718,"Gainesville","Alachua","Florida","DT","Downtown","Mixed","Mixed Use",True,False,True,True,False
4286,"High Springs","Columbia","Florida","MU","Mixed Use","Mixed","Mixed Use",True,True,True,True,False
2869,"San Jacinto","Riverside","California","CN","Commercial Neighborhood","Commercial","Neighborhood Commercial",True,False,False,True,False
3451,"Lighthouse Point","Broward","Florida","RD-10","2 Family Residence","Residential","Multi Family",True,True,True,False,False
2211,"Blythe","Riverside","California","R-M-L","Medium To Low Density Residential","Residential","Multi Family",True,True,True,True,False
1742,"Allen","Collin","Texas","PD-76","Planned Development","Planned","Planned",NULL,NULL,NULL,NULL,NULL
